filepath;artist;title;album;duration;status;yt_video_id;yt_url;yt_score;error_message
\\DESKTOP-U8AN9SJ\Musique\Rap\N.E.R.D\In Search Of... (Original)\in search of (original)-n.e.r.d.-11-am i high.mp3;N.E.R.D.;Am I High;In Search Of...;300.35591836734693;low_confidence;vCCzuDLcKqc;https://music.youtube.com/watch?v=vCCzuDLcKqc;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Rap\Outkast\Greatest Hits(2010)\15 - Git Up, Git Out.mp3;OutKast;Git Up, Git Out;Greatest Hits;446.1714285714286;low_confidence;mEp_o9tQjy8;https://music.youtube.com/watch?v=mEp_o9tQjy8;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Al Barry and The Cimerons- Morning sun.mp3;Al Barry and The Cimerons;Morning sun;DJ Spooky Presents - In Fine Style: 50,000 Volts of Trojan Records Disc 1;177.23995;low_confidence;oQ_t1EHF1hY;https://music.youtube.com/watch?v=oQ_t1EHF1hY;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Alborosie\Alborosie - Celebration.mp3;Alborosie;Celebration;                              ;241.50204081632654;low_confidence;DH5dvDwTzf4;https://music.youtube.com/watch?v=DH5dvDwTzf4;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Bascom X\Bascom X - Promo\Bascom X - Jah Rainbow Riddim - Old Lady.mp3;Bascom X;Old Lady;Jah Rainbow Riddim-(Vinyl);210.05061224489796;low_confidence;n1g8_xTvQbQ;https://music.youtube.com/watch?v=n1g8_xTvQbQ;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Reggae\Bob Marley\Kaya\08 Crisis.m4a;Bob Marley;Crisis;Kaya;234.8234013605442;low_confidence;HYojVSZUPXI;https://music.youtube.com/watch?v=HYojVSZUPXI;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Bob Marley\Legend\Exodus.mp3;Bob Marley;Exodus;Legend;457.08;low_confidence;JxEgBL0wAkc;https://music.youtube.com/watch?v=JxEgBL0wAkc;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Bob Marley\The Ultimate Reggae DUB & Riddim Collect\1-03 Kaya Rhythm.m4a;Bob Marley;Kaya Rhythm;The Ultimate Reggae DUB & Riddim Collect;158.33687074829933;low_confidence;vbED91NU4vE;https://music.youtube.com/watch?v=vbED91NU4vE;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Reggae\Capleton\2006 - Capleton - Free Up\11-capleton-bun_dem_up.mp3;Capleton;Bun Dem Up;Free Up;199.88897959183674;low_confidence;FzmuIQQGJbo;https://music.youtube.com/watch?v=FzmuIQQGJbo;70;Résultat YouTube Music invalide (durée ou version live)
\\DESKTOP-U8AN9SJ\Musique\Reggae\Damian Marley\1996 - Mr. Marley\02. Love And Inity.mp3;Damian Marley;Love And Inity [Prod. By Ghetto Youths Crew];Mr. Marley (Remastered);243.67189612283968;low_confidence;Pev_xGtdBgo;https://music.youtube.com/watch?v=Pev_xGtdBgo;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Damian Marley\2005 - Welcome to Jamrock\09. For The Babies (feat. Stephen Marley).mp3;Damian Marley;For The Babies (feat. Stephen Marley);Welcome to Jamrock;293.6438541113229;low_confidence;l6TycClk3Mo;https://music.youtube.com/watch?v=l6TycClk3Mo;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Damian Marley\Best Of Damian Marley\02. Love And Inity.mp3;Damian Marley;Love And Inity [Prod. By Ghetto Youths Crew];Mr. Marley (Remastered);243.67189612283968;low_confidence;Pev_xGtdBgo;https://music.youtube.com/watch?v=Pev_xGtdBgo;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Damian Marley\Halfway Tree (2001)\06 She Needs My Love feat. Yami Bolo & Sabor.mp3;Damian Marley;She Needs My Love;Halfway Tree;256.3159315153613;low_confidence;-1bFFnUBbgk;https://music.youtube.com/watch?v=-1bFFnUBbgk;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Dub Incorporation\Afrikya (2008)\13 - Meme si.mp3;Dub Incorporation;meme si;Afrikya;187.5635624364688;low_confidence;obcNVyPGotg;https://music.youtube.com/watch?v=obcNVyPGotg;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Dub Incorporation\Dans Le Décor (2005)\04 Chaines.mp3;Dub Incorporation;Chaines;Dans le Décor;350.5290186505224;low_confidence;mHdJV_0bkGg;https://music.youtube.com/watch?v=mHdJV_0bkGg;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Dub Incorporation\Diversité (2003)\07 Galerer.mp3;Dub Incorporation;galerer;Diversité;311.2886677045539;low_confidence;fWmN3blN7AY;https://music.youtube.com/watch?v=fWmN3blN7AY;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Groundation\Best Of Groundation\Groundation - 11 - Each One Teach One.mp3;Groundation;Each One Teach One;Each One Teach One;340.24270542749474;low_confidence;leE-oVPSoAI;https://music.youtube.com/watch?v=leE-oVPSoAI;70;
\\DESKTOP-U8AN9SJ\Musique\Reggae\Groundation\Groundation - Tribute to Bob Marley\Disc 1\d1 12 Fussing And Fighting.mp3;GROUNDATION;Fussing And Fighting;Tribute to Bob Marley;441.2221246890588;low_confidence;LiRWrEnkxgM;https://music.youtube.com/watch?v=LiRWrEnkxgM;70;Résultat YouTube Music invalide (durée ou version live)
